Functie;Objectnaam;HMpunt;KadeNR;Naam_locatie;Naam_waterweg;LatWGS84;LoWGS84;latWGS84;loWGS84;Aangemaakt op
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 55;5,5;;Dudzele;Kanaal Brugge-Zeebrugge;51,2710610;3,212635;51.2710610003599;3.2126349995403;06/07/2016
Ligplaats met overslag;Ligplaats 209;-99,9;209;Zeebrugge;Visartsluis - CDNB;51,3304760;3,196746;51.3304759996286;3.19674600009309;06/07/2016
Km-punt op as waterweg;Brittaniadok km 1.2;1,2;;Zeebrugge;Brittaniadok;51,3468330;3,209495;51.3468330003744;3.20949500000425;06/07/2016
Km-punt op as waterweg;LNG km 0.5;0,5;;Zeebrugge;LNG;51,3504100;3,214654;51.3504100002716;3.21465399918878;06/07/2016
Ligplaats zonder overslag;Ligplaats 956;-99,9;956;Brugge;Nijverheidsdok;51,2340830;3,218260;51.2340829996146;3.21826000038906;06/07/2016
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 32;3,2;;Brugge;Kanaal Brugge-Zeebrugge;51,2506300;3,217510;51.250630000317;3.21751000106851;06/07/2016
Ligplaats met overslag;Ligplaats 104;-99,9;104;Zeebrugge;Geul West - ZP1;51,3439200;3,193806;51.3439200001552;3.19380599974006;06/07/2016
Ligplaats met overslag;Ligplaats 124;-99,9;124;Zeebrugge;Albert II dok;51,3441600;3,177703;51.3441599998887;3.17770300035407;06/07/2016
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 2;0,2;;Brugge;Kanaal Brugge-Zeebrugge;51,2239180;3,223112;51.2239180006462;3.22311199965457;06/07/2016
Km-punt op as waterweg;Wielingendok km 1.5;1,5;;Zeebrugge;Wielingendok;51,3577760;3,192849;51.3577760006571;3.19284899985247;06/07/2016
Ligplaats met overslag;Ligplaats 410;-99,9;410;Zeebrugge;Noordelijk Insteekdok;51,3198380;3,211687;51.3198379998414;3.21168699972025;06/07/2016
Ligplaats met overslag;Ligplaats 143;-99,9;143;Zeebrugge;Wielingendok;51,3542390;3,175999;51.3542390007025;3.17599900033706;06/07/2016
Km-punt op as waterweg;Zuidelijk Insteekdok km 2.6;2,6;;Zeebrugge;Zuidelijk Insteekdok;51,3145840;3,223814;51.3145840002362;3.22381399978671;06/07/2016
Km-punt op as waterweg;Visartsluis - CDNB km 15.9;15,9;;Zeebrugge;Visartsluis - CDNB;51,3597210;3,195868;51.3597210003043;3.19586799962274;06/07/2016
Seinlichten - Sluis;Uitgangslichten Pierre Vandammesluis NO;-99,9;;Zeebrugge;Pierre Vandammesluis - CDNB;51,3364630;3,215523;51.3364629997502;3.21552300108628;06/07/2016
Bunkerstation;Bunkerstation Zeebrugge Voorhaven.;-99,9;;Brugge;Kanaal Brugge-Zeebrugge;51,2678900;3,213854;51.2678899996629;3.21385399990498;06/07/2016
Ligplaats zonder overslag;Ligplaats 208;-99,9;208;Zeebrugge;Visartsluis - CDNB;51,3307190;3,195176;51.3307190002343;3.19517600075026;06/07/2016
Ligplaats zonder overslag;Ligplaats 503;-99,9;503;Zeebrugge;Verbindingsdok;51,3109200;3,211457;51.310919999717;3.2114570009077;06/07/2016
Km-punt op as waterweg;Zuidelijk Insteekdok km 2.4;2,4;;Zeebrugge;Zuidelijk Insteekdok;51,3129760;3,225097;51.3129759999377;3.22509699934572;06/07/2016
Terminal;DFDS Seaways;-99,9;;Zeebrugge;Wielingendok;51,3517140;3,172178;51.3517139996823;3.17217800083712;06/07/2016
Terminal;C.ro Ports Canada // Wallenius ligplaats 532;-99,9;;Zeebrugge;Zuidelijk Insteekdok;51,3163040;3,226428;51.3163040004713;3.22642800110015;06/07/2016
Ligplaats zonder overslag;Ligplaats 125;-99,9;125;Zeebrugge;Albert II dok;51,3460680;3,178072;51.3460679998544;3.17807200052622;06/07/2016
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 47;4,7;;Brugge;Kanaal Brugge-Zeebrugge;51,2639440;3,214120;51.2639440006541;3.2141200003113;06/07/2016
Km-punt op as waterweg;Pierre Vandammesluis - CDNB km 0.9;0,9;;Zeebrugge;Pierre Vandammesluis - CDNB;51,3386990;3,213530;51.3386989998116;3.21353000073082;06/07/2016
Km-punt op as waterweg;Wielingendok km 1.1;1,1;;Zeebrugge;Wielingendok;51,3579510;3,187114;51.3579509993538;3.18711399999472;06/07/2016
Ligplaats zonder overslag;Ligplaats 950;-99,9;950;Brugge;Nijverheidsdok;51,2286200;3,217837;51.2286199999747;3.21783699946132;06/07/2016
Km-punt op as waterweg;Visartsluis - CDNB km 12.8;12,8;;Zeebrugge;Visartsluis - CDNB;51,3358370;3,196120;51.3358370005975;3.19612000121228;06/07/2016
Dok;LNG dok;-99,9;;Zeebrugge;LNG;51,3504100;3,214654;51.3504100002716;3.21465399918878;06/07/2016
Km-punt op as waterweg;Nijverheidsdok km 0.7;0,7;;Brugge;Nijverheidsdok;51,2318440;3,216626;51.2318440003626;3.21662600075332;06/07/2016
Ligplaats zonder overslag;Ligplaats Leopold II-dam;-99,9;;Zeebrugge;Geul West - ZP1;51,3428110;3,192403;51.3428110006413;3.19240300033764;06/07/2016
