STRAATnummer;STRAATNAAM;huisnr;suffix;busnr;POSTCODE;GEMEENTEAFDELING;SECTOR;dat_beslissing;Aantal_verblijven;in_uitbating;StraatHuisNummer;latWGS84;loWGS84;Aangemaakt op
544;Sint-Pieterskaai;43;;;8000;Sint-Pieters;N;20090225000000.000;6;neen;Sint-Pieterskaai 43;51.2209997400756;3.21709400460204;20/11/2017
220;Maagdenstraat;90;;;8000;Brugge-Centrum;C;19990715000000.000;3;ja;Maagdenstraat 90;51.2023990665697;3.21519740018446;20/11/2017
121;Hoefijzerlaan;41;;;8000;Brugge-Centrum;C;20170816000000.000;11;ja;Hoefijzerlaan 41;51.2080166800828;3.21526331175541;20/11/2017
7079;Oudekerkstraat;6;;;8200;Sint-Michiels;W;20150416000000.000;3;ja;Oudekerkstraat 6;51.1907411245957;3.21047484132134;20/11/2017
155;Katelijnestraat;105;;;8000;Brugge-Centrum;C;20171020000000.000;70;ja;Katelijnestraat 105;51.2013817289601;3.22763299666655;20/11/2017
254;Oude Zak;26;;;8000;Brugge-Centrum;C;20110107000000.000;32;ja;Oude Zak 26;51.2108594870278;3.21884793023331;20/11/2017
383;Wulfhagestraat;8;;;8000;Brugge-Centrum;C;20160628000000.000;10;ja;Wulfhagestraat 8;51.207203699002;3.21888820377211;20/11/2017
141;Joost de Damhouderstraat;24;;;8000;Brugge-Centrum;C;20170802000000.000;6;ja;Joost de Damhouderstraat 24;51.2110799471869;3.23266692742928;20/11/2017
7130;Velodroomstraat;134;;;8200;Sint-Michiels;W;20141205000000.000;5;ja;Velodroomstraat 134;51.1897235278009;3.19483777628944;20/11/2017
5059;Korte Vesting;1;;;8200;Sint-Andries;W;20170919000000.000;14;ja;Korte Vesting 1;51.2037552757852;3.21072738724295;20/11/2017
231;Molenmeers;21;;;8000;Brugge-Centrum;C;20140701000000.000;5;ja;Molenmeers 21;51.2112689477422;3.23279885461353;20/11/2017
276;Raamstraat;28;;;8000;Brugge-Centrum;C;20170912000000.000;17;ja;Raamstraat 28;51.2123301899545;3.21838363864842;20/11/2017
314;Sint-Jansstraat;5;A;;8000;Brugge-Centrum;C;19970527000000.000;8;ja;Sint-Jansstraat 5;51.2106778682168;3.22545553493954;20/11/2017
237;Nieuwe Gentweg;71;;;8000;Brugge-Centrum;C;20010205000000.000;4;ja;Nieuwe Gentweg 71;51.2043546123947;3.23020193295533;20/11/2017
7006;August Bontestraat;3;;;8200;Sint-Michiels;W;20121221000000.000;3;ja;August Bontestraat 3;51.1883699628328;3.21686626310762;20/11/2017
106;Guido Gezellelaan;8;;;8000;Brugge-Centrum;C;20160325000000.000;6;ja;Guido Gezellelaan 8;51.2059448480414;3.21350294802525;20/11/2017
247;Oosterlingenplein;5;;;8000;Brugge-Centrum;C;20170714000000.000;4;ja;Oosterlingenplein 5;51.2129109227879;3.22652999054038;20/11/2017
5101;Torhoutse Steenweg;56;;;8200;Sint-Andries;W;20161129000000.000;8;ja;Torhoutse Steenweg 56;51.2025410255297;3.20567366564728;20/11/2017
225;Meestraat;1;;;8000;Brugge-Centrum;C;20161020000000.000;11;ja;Meestraat 1;51.2092669661733;3.22899727150739;20/11/2017
