SITE;DATE;ZONE;FROM;TO;VALUE;latWGS84;loWGS84;Aangemaakt op
RUZ01;23/4/2012;Zwa 40-50;4:0;5:0;2;;;08/07/2016
RUZ01;23/4/2012;Zwa 40-50;5:0;6:0;3;;;08/07/2016
RUZ01;23/4/2012;Zwa 40-50;6:0;7:0;10;;;08/07/2016
RUZ01;23/4/2012;Zwa 40-50;7:0;8:0;1;;;08/07/2016
RUZ01;23/4/2012;Zwa 40-50;8:0;9:0;3;;;08/07/2016
RUZ01;23/4/2012;Zwa 40-50;9:0;10:0;5;;;08/07/2016
RUZ01;23/4/2012;Zwa 40-50;10:0;11:0;8;;;08/07/2016
RUZ01;23/4/2012;Zwa 40-50;11:0;12:0;5;;;08/07/2016
RUZ01;23/4/2012;Zwa 40-50;12:0;13:0;4;;;08/07/2016
RUZ01;23/4/2012;Zwa 40-50;13:0;14:0;2;;;08/07/2016
RUZ01;23/4/2012;Zwa 40-50;14:0;15:0;4;;;08/07/2016
RUZ01;23/4/2012;Zwa 40-50;15:0;16:0;4;;;08/07/2016
RUZ01;23/4/2012;Zwa 40-50;16:0;17:0;3;;;08/07/2016
RUZ01;23/4/2012;Zwa 40-50;18:0;19:0;1;;;08/07/2016
RUZ01;23/4/2012;Zwa 40-50;19:0;20:0;1;;;08/07/2016
RUZ01;23/4/2012;Zwa 30-40;0:0;1:0;1;;;08/07/2016
RUZ01;23/4/2012;Zwa 30-40;6:0;7:0;7;;;08/07/2016
RUZ01;23/4/2012;Zwa 30-40;7:0;8:0;5;;;08/07/2016
RUZ01;23/4/2012;Zwa 30-40;8:0;9:0;2;;;08/07/2016
RUZ01;23/4/2012;Zwa 30-40;9:0;10:0;8;;;08/07/2016
RUZ01;23/4/2012;Zwa 30-40;10:0;11:0;2;;;08/07/2016
RUZ01;23/4/2012;Zwa 30-40;11:0;12:0;5;;;08/07/2016
RUZ01;23/4/2012;Zwa 30-40;12:0;13:0;2;;;08/07/2016
RUZ01;23/4/2012;Zwa 30-40;13:0;14:0;12;;;08/07/2016
RUZ01;23/4/2012;Zwa 30-40;14:0;15:0;9;;;08/07/2016
RUZ01;23/4/2012;Zwa 30-40;15:0;16:0;8;;;08/07/2016
